task_id,shard_run,status,note,score,perfect,score_gemini31pro_judge,rubric_met,rubric_violated,rubric_not_assessable,duration_s,llm_calls,input_tokens,cached_input_tokens,output_tokens,cost_usd_offpeak,cost_usd_peak
bu2-001,36043717777,completed,,85.0,False,100.0,9,1,0,592,45,130962,2884736,52453,0.0598,0.1195
bu2-002,,not_run,site unreachable (DNS) on run day,0,False,,,,,,,,,,,
bu2-003,36043644031,completed,,100.0,True,100.0,10,0,0,972,43,207911,3629184,79494,0.0898,0.1795
bu2-004,36043648261,completed,,100.0,True,100.0,10,0,0,1034,89,218874,6836736,72476,0.0968,0.1937
bu2-005,36043652932,completed,,100.0,True,100.0,9,0,0,408,59,140335,3221376,44710,0.0575,0.1151
bu2-006,36043717777,completed,,100.0,True,100.0,11,0,0,686,71,176087,4506880,60124,0.076,0.152
bu2-007,36043640330,timeout,30-minute limit; graded on partial evidence,4.0,False,12.0,1,9,0,1800,53,134552,3052032,51927,0.0605,0.121
bu2-008,36043644031,completed,,84.0,False,84.0,9,1,0,426,59,141554,3852800,50787,0.0633,0.1265
bu2-009,36043648261,completed,,66.0,False,66.0,7,3,0,649,36,174168,2879616,91301,0.0895,0.1791
bu2-010,36043652932,completed,,100.0,True,100.0,10,0,0,938,90,228882,7313024,90213,0.1104,0.2208
bu2-011,36043717777,completed,,70.0,False,85.0,7,2,0,471,57,145707,3574272,61196,0.0693,0.1386
bu2-012,36043640330,completed,,82.0,False,82.0,7,2,0,655,46,109521,2147712,42264,0.0482,0.0965
bu2-013,36043644031,timeout,30-minute limit; graded on partial evidence,24.0,False,24.0,2,0,8,1800,69,167343,4532736,67419,0.0792,0.1583
bu2-014,36043648261,completed,,100.0,True,100.0,10,0,0,698,50,151495,3120256,71192,0.0748,0.1496
bu2-015,36043652932,completed,,82.0,False,90.0,9,2,0,670,68,218549,6433408,85576,0.1034,0.2069
bu2-016,36043717777,completed,,100.0,True,92.0,10,0,0,665,50,162405,3338624,56773,0.0684,0.1369
bu2-017,36043640330,timeout,30-minute limit; graded on partial evidence,53.0,False,53.0,5,3,2,1800,59,139273,3590912,49570,0.0614,0.1228
bu2-018,36043644031,completed,,85.0,False,100.0,9,1,0,842,61,208122,5192960,61883,0.0839,0.1679
bu2-019,36043648261,completed,,73.0,False,41.0,8,3,0,775,84,241384,6922880,95986,0.1146,0.2291
bu2-020,36043652932,completed,,100.0,True,100.0,9,0,0,278,34,77181,1236608,27806,0.032,0.0639
bu2-021,36043717777,completed,,64.0,False,50.0,6,4,0,1462,110,230740,11155456,70595,0.1104,0.2209
bu2-022,36043640330,completed,,90.0,False,100.0,9,1,0,386,46,116760,2432384,40774,0.0493,0.0986
bu2-023,36043644031,completed,,100.0,True,100.0,9,0,0,556,72,174648,4882432,51784,0.0719,0.1438
bu2-024,36043648261,completed,,66.0,False,88.0,7,3,0,464,55,160112,3837696,59500,0.0712,0.1425
bu2-025,36043652932,completed,,92.0,False,92.0,9,1,0,286,47,111650,2587648,42627,0.0501,0.1002
bu2-026,36043717777,completed,,64.0,False,71.0,7,3,0,960,62,170097,4215168,61768,0.0752,0.1504
bu2-027,36043640330,completed,,100.0,True,90.0,10,0,0,1287,72,156818,4643712,72818,0.0811,0.1623
bu2-028,36043644031,completed,,100.0,True,78.0,10,0,0,512,41,123011,2314368,52500,0.0569,0.1138
bu2-029,36043648261,completed,,86.0,False,66.0,9,1,0,603,91,239337,8705664,78664,0.1092,0.2184
bu2-030,36043652932,completed,,67.0,False,100.0,7,3,0,1121,121,294221,11445120,94731,0.1353,0.2706
bu2-031,36043717777,completed,,53.0,False,28.0,5,5,0,1667,55,173466,3677696,66670,0.0771,0.1541
bu2-032,36043640330,completed,,90.0,False,100.0,9,1,0,798,74,194388,5545984,79063,0.0932,0.1865
bu2-033,36043644031,completed,,86.0,False,100.0,9,1,0,575,65,194014,6290944,54802,0.0809,0.1617
bu2-034,36043648261,completed,,66.0,False,66.0,6,4,0,1464,52,177496,4350336,66818,0.0798,0.1595
bu2-035,36043652932,completed,,100.0,True,100.0,10,0,0,469,43,145338,2567424,54027,0.0619,0.1238
bu2-036,36043717777,completed,,74.0,False,82.0,7,3,0,682,76,239648,6005248,91999,0.1092,0.2183
bu2-037,36043640330,completed,,86.0,False,100.0,9,1,0,688,52,153106,3554432,63666,0.0718,0.1437
bu2-038,36043644031,completed,,100.0,True,100.0,8,0,0,832,112,238338,11985024,59371,0.1073,0.2147
bu2-039,36043648261,completed,,90.0,False,90.0,8,1,0,1248,59,219031,5764608,117679,0.1208,0.2415
bu2-040,36043652932,completed,,94.0,False,100.0,9,1,0,1179,59,186039,3951104,80860,0.0883,0.1766
bu2-041,36043717777,completed,,60.0,False,74.0,6,3,0,1068,92,217980,7422848,79218,0.1025,0.205
bu2-042,36043640330,completed,,100.0,True,100.0,9,0,0,688,50,165806,3823360,54277,0.0689,0.1378
